time;logid;split;acdcalls;vdn;abncalls;transferred;holdcalls;auxoutoffcalls;i_acdtime;i_acwintime;holdtime;workmode;direction;auxreason;auxoutofftime;i_stafftime;i_availtime;i_auxtime;ansringtime;abntime;holdabncalls;holdacdtime
2021/06/08 12:46:17;2124628;1048;0;;0;0;0;0;0;0;0;20;0;;0;974;526;0;0;0;0;0
2021/06/08 12:46:17;2124628;1121;2;;0;0;0;0;382;60;0;20;0;;0;974;526;0;6;0;0;0
2021/06/08 12:46:17;2124628;1123;0;;0;0;0;0;0;0;0;20;0;;0;974;526;0;0;0;0;0
2021/06/07 10:26:44;2801892;1050;0;;0;0;0;0;0;0;0;50;0;1;0;1601;0;147;0;0;0;0
2021/06/07 10:26:44;2801892;1095;0;;0;0;0;0;0;0;0;50;0;1;0;1601;0;147;0;0;0;0
2021/06/07 10:26:44;2801892;1124;2;;0;0;0;0;1443;9;0;50;0;1;0;1601;0;147;4;0;0;0
2021/06/07 12:18:59;2115229;1041;0;;0;0;0;0;0;0;0;50;0;1;0;1136;258;241;0;0;0;0
2021/06/07 12:18:59;2115229;1042;0;;0;0;0;0;0;0;0;50;0;1;0;1136;258;241;0;0;0;0
2021/06/07 12:18:59;2115229;1043;0;;0;0;0;0;0;0;0;50;0;1;0;1136;258;241;0;0;0;0
2021/06/07 12:18:59;2115229;1091;1;;0;0;1;0;382;30;222;50;0;1;0;1136;258;241;3;0;0;222
2021/06/07 12:18:59;2115229;1164;0;;0;0;0;0;0;0;0;50;0;1;0;1136;258;241;0;0;0;0
2021/06/07 11:43:41;2119923;1057;0;;0;0;0;0;0;4;0;50;0;1;0;818;0;814;0;0;0;0
2021/06/05 03:18:00;2108608;1048;0;;0;0;0;0;0;0;0;50;0;0;0;1077;0;1077;0;0;0;0
2021/06/07 16:09:45;2112954;1041;0;;0;0;0;2;0;0;0;50;1;8;65;582;0;455;0;0;0;0
2021/06/07 16:09:45;2112954;1042;0;;0;0;0;0;0;0;0;50;1;8;0;582;0;455;0;0;0;0
2021/06/07 16:09:45;2112954;1043;0;;0;0;0;0;0;0;0;50;1;8;0;582;0;455;0;0;0;0
2021/06/07 16:09:45;2112954;1091;1;;0;0;0;0;123;4;0;50;1;8;0;582;0;455;3;0;0;0
2021/06/07 16:09:45;2112954;1164;0;;0;0;0;0;0;0;0;50;1;8;0;582;0;455;0;0;0;0
2021/06/07 15:11:02;2105097;1048;0;2000388;0;0;0;0;0;0;0;30;2;;0;659;0;0;0;0;0;0
2021/06/07 15:11:02;2105097;1121;0;2000388;0;0;0;0;659;0;0;30;2;;0;659;0;0;0;0;0;0
2021/06/07 15:11:02;2105097;1123;0;2000388;0;0;0;0;0;0;0;30;2;;0;659;0;0;0;0;0;0
2021/06/07 15:37:06;2104604;1021;0;2000022;0;0;0;0;262;78;0;30;2;;0;423;69;11;0;0;0;0
2021/06/07 15:37:06;2104604;1022;0;2000022;0;0;0;0;0;0;0;30;2;;0;423;69;11;0;0;0;0
2021/06/07 15:37:06;2104604;1024;0;2000022;0;0;0;0;0;0;0;30;2;;0;423;69;11;0;0;0;0
2021/06/07 15:37:06;2104604;1025;0;2000022;0;0;0;0;0;0;0;30;2;;0;423;69;11;0;0;0;0
